@RELATION cleaned_computed_insight_success_of_active_sellers_grouped

@ATTRIBUTE listed_products NUMERIC
@ATTRIBUTE total_units_sold NUMERIC
@ATTRIBUTE mean_units_sold_per_product NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE merchant_ratings_count NUMERIC
@ATTRIBUTE mean_product_prices NUMERIC
@ATTRIBUTE mean_retail_prices NUMERIC
@ATTRIBUTE average_discount NUMERIC
@ATTRIBUTE mean_product_ratings_count NUMERIC
@ATTRIBUTE total_urgency_count NUMERIC
@ATTRIBUTE urgency_text_rate_group {none,low,medium,high}

@DATA
4,25100,6275.0,3.939,35262.0,7.0,21.75,42.0,948.0,1.0,medium
2,25000,12500.0,3.999,20681.0,9.0,8.5,-6.0,2809.0,1.0,medium
2,25000,12500.0,4.095,11854.0,6.87,6.0,-14.0,2130.0,0.0,none
4,22100,5525.0,3.872,22711.0,12.75,40.5,69.0,382.0,1.0,medium
4,22100,5525.0,3.981,12913.0,11.25,29.25,25.0,972.0,1.0,medium
3,22000,7333.0,3.881,3771.0,8.0,7.0,-14.0,766.0,1.0,medium
5,22000,4400.0,4.0,5534.0,8.36,25.2,68.0,930.0,2.0,medium
6,21400,3567.0,3.9,17752.0,5.68,10.33,38.0,1057.0,3.0,medium
4,21100,5275.0,4.201,90105.0,13.25,93.0,86.0,1060.0,2.0,medium
2,21000,10500.0,3.998,40245.0,8.5,7.5,-13.0,4913.0,1.0,medium
2,21000,10500.0,4.023,5281.0,9.5,8.5,-12.0,1127.0,2.0,high
2,21000,10500.0,4.069,25093.0,8.0,91.0,92.0,5277.0,1.0,medium
2,21000,10500.0,4.085,15076.0,9.0,13.0,31.0,670.0,1.0,medium
2,21000,10500.0,4.099,40616.0,8.5,7.5,-13.0,3514.0,1.0,medium
2,21000,10500.0,4.19,8191.0,11.5,106.0,90.0,1711.0,1.0,medium
5,20300,4060.0,4.138,66644.0,5.61,5.2,-3.0,747.0,2.0,medium
3,20200,6733.0,4.002,14482.0,6.15,5.67,1.0,744.0,1.0,medium
3,20200,6733.0,4.155,16803.0,10.33,9.0,-15.0,1056.0,0.0,none
5,20200,4040.0,4.204,246312.0,9.2,9.0,-3.0,847.0,2.0,medium
3,20100,6700.0,3.874,9177.0,7.67,18.0,58.0,1018.0,1.0,medium
3,20100,6700.0,4.225,5316.0,6.33,40.67,42.0,976.0,0.0,none
2,20100,10050.0,3.919,3791.0,3.38,3.5,4.0,876.0,1.0,medium
2,20100,10050.0,4.017,40943.0,5.75,30.5,39.0,1516.0,1.0,medium
2,20100,10050.0,4.153,8776.0,7.5,7.0,-6.0,2696.0,1.0,medium
3,20020,6673.0,3.925,32394.0,7.67,25.33,51.0,2872.0,0.0,none
3,20000,6667.0,3.732,3566.0,6.6,5.67,-16.0,1243.0,0.0,none
3,20000,6667.0,3.85,4295.0,6.59,5.67,-16.0,549.0,1.0,medium
3,20000,6667.0,4.268,61895.0,10.0,9.0,-11.0,1325.0,1.0,medium
3,20000,6667.0,4.29,9200.0,9.0,8.0,-13.0,902.0,1.0,medium
3,20000,6667.0,4.294,213709.0,5.91,27.0,77.0,1300.0,2.0,high
1,20000,20000.0,3.915,14553.0,14.0,12.0,-16.0,5891.0,0.0,none
1,20000,20000.0,3.962,21210.0,5.8,43.0,87.0,2407.0,0.0,none
1,20000,20000.0,3.962,33839.0,11.0,20.0,45.0,3929.0,0.0,none
1,20000,20000.0,3.999,12476.0,8.0,7.0,-14.0,3761.0,0.0,none
1,20000,20000.0,4.003,4336.0,11.0,19.0,43.0,2729.0,0.0,none
1,20000,20000.0,4.007,15106.0,9.0,50.0,82.0,2440.0,0.0,none
1,20000,20000.0,4.017,11965.0,11.0,84.0,87.0,3572.0,1.0,high
1,20000,20000.0,4.047,56999.0,3.79,49.0,93.0,8412.0,0.0,none
1,20000,20000.0,4.064,43742.0,7.0,11.0,37.0,6510.0,0.0,none
1,20000,20000.0,4.065,15748.0,9.0,8.0,-12.0,3820.0,0.0,none
1,20000,20000.0,4.07,3271.0,7.0,6.0,-16.0,2464.0,0.0,none
1,20000,20000.0,4.073,6714.0,6.0,6.0,0.0,2706.0,1.0,high
