@RELATION summer_products_rating_group_classification

@ATTRIBUTE price NUMERIC
@ATTRIBUTE retail_price NUMERIC
@ATTRIBUTE units_sold NUMERIC
@ATTRIBUTE rating_count NUMERIC
@ATTRIBUTE rating_five_count NUMERIC
@ATTRIBUTE rating_four_count NUMERIC
@ATTRIBUTE rating_three_count NUMERIC
@ATTRIBUTE rating_two_count NUMERIC
@ATTRIBUTE rating_one_count NUMERIC
@ATTRIBUTE product_variation_inventory NUMERIC
@ATTRIBUTE countries_shipped_to NUMERIC
@ATTRIBUTE merchant_rating_count NUMERIC
@ATTRIBUTE merchant_rating NUMERIC
@ATTRIBUTE rating_group {low,medium,high}  % label

@DATA
6.0,6,100,8,5.0,0.0,1.0,2.0,0.0,5,23,127,3.874015748031496,medium
11.0,68,1000,211,120.0,37.0,31.0,8.0,15.0,50,40,11597,4.2152280762266106,high
7.0,6,50,4,3.0,0.0,0.0,0.0,1.0,50,139,34,4.352941176470588,medium
5.0,38,50,2,2.0,0.0,0.0,0.0,0.0,17,33,9,3.6666666666666665,high
2.72,3,100,20,6.0,4.0,2.0,2.0,6.0,1,35,14482,4.001588178428394,medium
5.87,11,1000,209,100.0,41.0,34.0,17.0,17.0,6,29,6187,4.391304347826087,medium
11.0,10,5000,1008,447.0,201.0,135.0,81.0,144.0,50,25,61895,4.268002261895145,medium
8.0,10,100,7,1.0,1.0,2.0,1.0,2.0,4,20,224,3.892857142857143,low
14.0,67,1000,187,84.0,40.0,28.0,14.0,21.0,50,40,11900,4.150756302521009,medium
2.0,9,100,32,11.0,6.0,5.0,7.0,3.0,1,40,4856,4.167627677100494,medium
8.0,7,10000,1670,823.0,340.0,250.0,89.0,168.0,50,30,66644,4.137581777804454,medium
5.79,30,1000,212,73.0,49.0,23.0,25.0,42.0,50,118,21012,4.189843898724538,medium
8.0,22,100,47,24.0,5.0,6.0,6.0,6.0,50,41,50593,3.876761607336984,medium
4.94,5,10000,1331,659.0,255.0,199.0,101.0,117.0,6,49,55670,4.1214837434884135,medium
8.0,7,10000,2520,1220.0,433.0,365.0,203.0,299.0,50,14,8821,3.872009976193176,medium
11.0,10,100,50,20.0,7.0,8.0,6.0,9.0,50,41,225438,4.301120485454981,medium
8.0,33,10,0,0.0,0.0,0.0,0.0,0.0,50,25,1496,4.169786096256685,high
9.0,33,50,4,2.0,2.0,0.0,0.0,0.0,50,41,8397,4.120281052756937,high
7.0,6,100,53,30.0,14.0,5.0,1.0,3.0,50,31,2055,3.837956204379562,high
11.0,10,10000,1045,644.0,183.0,114.0,38.0,66.0,50,36,9200,4.289673913043479,high
8.0,92,100,16,6.0,5.0,0.0,2.0,3.0,50,55,7076,3.968061051441493,medium
5.83,5,10000,2055,1162.0,488.0,212.0,83.0,110.0,1,35,126370,4.14695734747171,high
8.0,7,1000,373,144.0,57.0,60.0,35.0,77.0,50,63,1322,3.965204236006052,medium
5.77,5,100,4,1.0,2.0,1.0,0.0,0.0,45,31,8996,3.915740329035127,medium
5.9,5,10000,1933,867.0,298.0,299.0,151.0,318.0,4,30,2366,3.951817413355875,medium
6.0,20,100,13,4.0,2.0,2.0,1.0,4.0,50,43,2776,3.931195965417868,medium
7.0,6,50000,17444,11548.0,3191.0,1632.0,507.0,566.0,2,35,126370,4.14695734747171,high
8.0,7,10000,1404,593.0,278.0,232.0,124.0,177.0,1,48,4178,3.9375299186213497,medium
12.0,11,1000,341,163.0,63.0,48.0,21.0,46.0,50,13,2248,4.150355871886121,medium
5.78,8,20000,3975,2054.0,774.0,576.0,242.0,329.0,50,29,6555,4.184134248665141,medium
12.0,17,5000,387,189.0,76.0,67.0,21.0,34.0,50,43,1288,3.978260869565217,medium
11.0,10,20000,3070,1635.0,642.0,392.0,177.0,224.0,50,35,12974,3.965700632033297,high
8.0,51,100,31,19.0,5.0,5.0,1.0,1.0,50,43,5846,3.832535066712282,high
11.0,10,100,50,20.0,7.0,8.0,6.0,9.0,50,41,225438,4.301120485454981,medium
5.77,48,100000,20744,11184.0,4152.0,2919.0,1174.0,1315.0,50,46,330405,4.06734764909732,high
9.0,8,20000,3820,1726.0,654.0,568.0,324.0,548.0,44,20,15748,4.064643129286258,medium
1.72,2,100,30,15.0,3.0,5.0,4.0,3.0,10,48,32168,3.884543645859239,medium
1.86,9,100,42,17.0,9.0,4.0,5.0,7.0,2,40,7248,3.9430187637969096,medium
14.0,92,100,13,10.0,2.0,0.0,0.0,1.0,50,36,54,4.185185185185185,high
3.69,4,1000,212,95.0,33.0,32.0,16.0,36.0,5,24,1559,4.039127645926876,medium
5.79,42,1000,121,36.0,24.0,23.0,19.0,19.0,50,43,5083,3.9474719653747785,medium
11.0,30,100,28,17.0,4.0,3.0,1.0,3.0,2,45,9541,4.210460119484331,high
9.0,8,100,72,17.0,19.0,12.0,8.0,16.0,10,26,288,3.7291666666666665,medium
6.0,8,10000,1338,685.0,257.0,187.0,72.0,137.0,50,43,54504,3.80168428005284,medium
20.0,17,100,15,2.0,3.0,5.0,0.0,5.0,50,36,67,3.298507462686567,low
5.66,5,5000,1161,558.0,242.0,159.0,75.0,127.0,50,42,99283,4.285597735765438,medium
8.0,65,100,29,18.0,1.0,5.0,1.0,4.0,1,33,239,3.882845188284519,medium
8.0,7,1000,668,254.0,155.0,102.0,61.0,96.0,10,39,40616,4.098557218830018,medium
6.0,6,1000,134,62.0,26.0,23.0,6.0,17.0,1,35,670,3.844776119402985,medium
11.0,10,5000,1556,743.0,338.0,258.0,110.0,107.0,50,23,4610,4.252711496746204,medium
7.0,6,1000,107,66.0,13.0,18.0,3.0,7.0,3,26,247,3.94331983805668,high
11.0,10,10000,1694,725.0,376.0,272.0,112.0,209.0,50,31,13946,4.000143410296859,medium
5.8100000000000005,30,100,18,3.0,2.0,5.0,1.0,7.0,3,41,26473,3.8947606995807047,low
14.0,12,10000,2946,1427.0,614.0,452.0,180.0,273.0,36,26,32858,3.88553776857995,medium
5.0,51,10,0,0.0,0.0,0.0,0.0,0.0,1,36,295,3.989830508474576,high
5.0,5,100,10,6.0,2.0,1.0,1.0,0.0,3,22,10799,4.167978516529308,high
11.0,10,1000,249,143.0,48.0,24.0,12.0,22.0,50,21,8989,3.851930136833908,high
12.0,67,10,3,2.0,0.0,0.0,0.0,1.0,20,32,238,4.008403361344538,medium
5.68,5,10,2,1.0,1.0,0.0,0.0,0.0,50,109,160,4.5125,high
11.0,10,100,12,7.0,1.0,2.0,1.0,1.0,50,32,546,4.014652014652015,medium
17.0,15,10000,3040,1782.0,565.0,332.0,123.0,238.0,50,52,12881,4.35261237481562,high
7.0,43,100,21,10.0,5.0,0.0,2.0,4.0,9,40,9078,3.878166997135933,medium
12.0,85,50,4,3.0,1.0,0.0,0.0,0.0,18,35,57,4.175438596491228,high
7.0,6,100,2,2.0,0.0,0.0,0.0,0.0,50,41,9703,3.9707307018447904,high
7.0,33,50,2,0.0,1.0,0.0,1.0,0.0,50,41,25222,4.001546269130125,low
11.0,59,1000,135,75.0,24.0,19.0,10.0,7.0,50,41,6715,4.057185405807893,high
12.0,43,100,27,7.0,9.0,7.0,1.0,3.0,50,42,3237,3.948409020698177,medium
13.0,51,5000,127,59.0,16.0,20.0,7.0,25.0,50,43,17244,3.9464161447459984,medium
2.72,9,1,0,0.0,0.0,0.0,0.0,0.0,1,33,378,3.5978835978835977,high
6.0,6,20000,1600,809.0,322.0,238.0,100.0,131.0,50,33,16013,4.108849060138637,medium
9.0,56,100,30,17.0,6.0,2.0,1.0,4.0,3,19,49,3.7142857142857135,high
5.0,5,50,1,1.0,0.0,0.0,0.0,0.0,5,47,4,3.75,high
5.86,5,1000,150,71.0,23.0,23.0,11.0,22.0,6,30,9308,3.993016759776536,medium
2.0,2,10000,980,520.0,180.0,120.0,67.0,93.0,1,23,12309,4.045170200666179,medium
7.0,6,5000,996,654.0,178.0,94.0,32.0,38.0,8,41,130598,3.946790915634237,high
5.66,6,100,13,3.0,3.0,3.0,0.0,4.0,50,35,2782,4.06901509705248,medium
13.0,17,5000,792,450.0,150.0,88.0,35.0,69.0,6,43,4571,3.910741632028002,high
8.0,7,5000,1254,500.0,241.0,207.0,126.0,180.0,27,28,88193,4.080890773644167,medium
11.0,10,1000,299,120.0,73.0,55.0,22.0,29.0,5,35,433,3.896073903002309,medium
8.0,7,20000,8904,4640.0,1964.0,1121.0,493.0,686.0,50,31,19221,4.168097393475886,high
16.0,76,100,38,15.0,9.0,2.0,5.0,7.0,50,58,1088,4.272058823529412,medium
11.0,10,100,5,3.0,2.0,0.0,0.0,0.0,12,42,38936,4.122996712553935,high
11.0,10,5000,1008,447.0,201.0,135.0,81.0,144.0,50,25,61895,4.268002261895145,medium
8.0,7,20000,6860,3906.0,1326.0,869.0,343.0,416.0,50,32,43676,4.283611136550967,high
14.0,12,1000,481,267.0,86.0,60.0,18.0,50.0,50,41,26473,3.8947606995807047,high
7.0,6,100,25,10.0,4.0,5.0,3.0,3.0,50,127,483,4.15527950310559,medium
12.0,11,20000,2294,1099.0,449.0,362.0,154.0,230.0,25,50,59903,4.153665091898569,medium
7.0,50,1000,49,16.0,11.0,10.0,5.0,7.0,50,132,1290,4.011627906976744,medium
2.0,56,100,28,11.0,3.0,1.0,3.0,10.0,2,26,4435,3.696054114994363,medium
6.0,16,100,27,6.0,6.0,5.0,5.0,5.0,25,18,9177,3.8740329083578513,medium
8.0,7,1000,267,148.0,44.0,40.0,15.0,20.0,50,38,2745,4.1256830601092895,high
8.0,84,20000,8960,4468.0,1850.0,1277.0,583.0,782.0,50,125,48654,4.204916348090599,medium
8.0,25,5000,32,19.0,5.0,1.0,3.0,4.0,50,43,13127,4.12394301820675,medium
11.0,22,1000,359,180.0,74.0,49.0,28.0,28.0,50,30,4508,4.330745341614906,medium
3.66,4,5000,1080,327.0,170.0,211.0,128.0,244.0,2,45,10600,3.8675471698113206,medium
1.68,2,100,12,6.0,2.0,1.0,0.0,3.0,1,40,1047,3.956064947468959,medium
13.0,11,100,2,0.0,1.0,0.0,0.0,1.0,36,29,31,3.774193548387097,low
13.0,11,1000,11,5.0,3.0,1.0,0.0,2.0,30,43,80093,4.006692220293909,medium
11.0,16,100,12,2.0,1.0,6.0,0.0,3.0,50,16,18,3.6666666666666665,low
7.0,9,1000,219,101.0,36.0,38.0,15.0,29.0,2,44,30643,4.152726560715335,medium
4.8100000000000005,76,10000,3135,1695.0,721.0,416.0,140.0,163.0,45,39,24564,3.928879661292949,high
9.0,8,5000,761,476.0,128.0,90.0,34.0,33.0,50,55,5819,4.151916136793264,high
